"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"25/07/2012 ",17,11,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"26/07/2012 ",15,6,15.5,"n/a ",0,"n/a "," "
"27/07/2012 ",14,6,19.6,"n/a ",0,"n/a "," "
"28/07/2012 ",14,10,26.6,"n/a ",0,"n/a "," "
"29/07/2012 ",15,12,33.4,54.5,"n/a ","n/a ","Rain (or Drizzle)"
"30/07/2012 ",15,6,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"31/07/2012 ",14,6,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"01/08/2012 ",16,11,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"02/08/2012 ",16,9,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"03/08/2012 ",16,10,11.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"04/08/2012 ",17,8,12.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/08/2012 ",15,8,9.8,"n/a ","n/a ","n/a ","Fog Rain (or Drizzle)"
"06/08/2012 ",16,8,22.2,"n/a ",0,"n/a "," "
"07/08/2012 ",16,9,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/08/2012 ",13,8,16.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"09/08/2012 ",14,7,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"10/08/2012 ",16,7,21,"n/a ",0,"n/a "," "
"11/08/2012 ",17,14,32,47.5,"n/a ","n/a ","Rain (or Drizzle)"
"12/08/2012 ",17,12,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"13/08/2012 ",16,10,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"14/08/2012 ",16,8,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/08/2012 ",16,9,23.6,33.4,"n/a ","n/a ","Rain (or Drizzle)"
"16/08/2012 ",15,8,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/08/2012 ",16,10,30.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"18/08/2012 ",17,11,18.2,"n/a ",0,"n/a "," "
"19/08/2012 ",17,12,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"20/08/2012 ",17,11,32,43.2,"n/a ","n/a ","Rain (or Drizzle)"
